monthly_income_estimate,food_pct,groceries_pct,transport_pct,shopping_pct,entertainment_pct,utilities_pct,healthcare_pct,investments_pct,fuel_pct,savings_rate,spend_volatility_normalised
24501.01,0.3402,0.1177,0.058,0.0442,0.0406,0.1646,0.0999,0.0068,0.0311,0.097,0.1915
15613.03,0.3076,0.0962,0.0779,0.026,0.0396,0.1189,0.0479,0.0104,0.026,0.2495,0.2328
28103.68,0.4181,0.1014,0.0653,0.0254,0.0437,0.1674,0.0481,0.0069,0.0275,0.0962,0.0885
26212.06,0.3961,0.1293,0.1416,0.0309,0.005,0.1836,0.0649,0.012,0.0249,0.0117,0.1347
15301.07,0.2651,0.1004,0.0645,0.0682,0.0306,0.1395,0.0787,0.0165,0.0225,0.214,0.2198
23056.6,0.4718,0.1362,0.0593,0.0223,0.0293,0.1443,0.035,0.0291,0.012,0.0607,0.2538
16526.74,0.3134,0.1012,0.0724,0.0391,0.005,0.1376,0.0369,0.0168,0.0478,0.2299,0.2149
27982.61,0.3039,0.1427,0.09,0.065,0.005,0.1207,0.074,0.0154,0.0267,0.1566,0.2542
19855.19,0.3724,0.0378,0.0708,0.066,0.0086,0.1408,0.009,0.0127,0.0957,0.1863,0.1233
15777.35,0.2812,0.1085,0.1001,0.0274,0.0253,0.1327,0.1034,0.0244,0.005,0.192,0.1722
20233.02,0.3636,0.1227,0.0898,0.0523,0.0141,0.1974,0.0652,0.0159,0.0336,0.0455,0.2009
27218.62,0.3732,0.1823,0.0974,0.0418,0.005,0.1402,0.118,0.005,0.005,0.032,0.1989
26214.14,0.2236,0.1205,0.0752,0.0519,0.0112,0.1747,0.1057,0.0129,0.0433,0.1811,0.2541
20023.58,0.3566,0.1017,0.0876,0.052,0.0146,0.2063,0.0731,0.0047,0.0535,0.05,0.1686
15502.99,0.4091,0.1147,0.0635,0.0357,0.0137,0.1519,0.1056,0.0043,0.0515,0.05,0.2784
24617.21,0.3831,0.1763,0.0645,0.0799,0.0265,0.1127,0.005,0.0094,0.0456,0.0969,0.1525
22588.33,0.3338,0.1214,0.1156,0.0588,0.0225,0.1677,0.0787,0.005,0.0132,0.0833,0.3332
26046.66,0.2708,0.1162,0.0811,0.0806,0.0184,0.1828,0.005,0.0057,0.0198,0.2195,0.1207
23060.93,0.3316,0.1388,0.1054,0.0448,0.0087,0.1254,0.0099,0.0085,0.0399,0.1869,0.1409
21283.88,0.3315,0.1409,0.117,0.0279,0.0457,0.1838,0.0592,0.0106,0.0403,0.0431,0.2186
18148.58,0.3408,0.1247,0.1314,0.005,0.005,0.1168,0.1255,0.005,0.0164,0.1294,0.2322
17728.92,0.2374,0.0967,0.0578,0.0754,0.0272,0.2026,0.1074,0.005,0.0295,0.161,0.2494
24791.19,0.3219,0.1131,0.0963,0.0551,0.0365,0.1218,0.0794,0.005,0.0269,0.1441,0.1638
28445.04,0.3761,0.0825,0.0985,0.071,0.013,0.1445,0.0491,0.005,0.0089,0.1516,0.2564
24362.23,0.4497,0.0549,0.0449,0.0494,0.0166,0.1337,0.1089,0.0235,0.0831,0.0353,0.2603
18868.32,0.3637,0.1145,0.0804,0.0344,0.022,0.1604,0.0484,0.005,0.0482,0.1231,0.1178
24771.31,0.3125,0.1358,0.1124,0.0602,0.0184,0.1971,0.0298,0.0181,0.0477,0.068,0.0778
15704.49,0.3914,0.0982,0.0837,0.0219,0.0108,0.1273,0.0455,0.005,0.0205,0.1956,0.2832
23496.07,0.486,0.1043,0.0771,0.0185,0.0188,0.1462,0.0887,0.0047,0.0058,0.05,0.2792
26563.68,0.3209,0.16,0.0624,0.0358,0.0243,0.1889,0.0909,0.0182,0.0485,0.05,0.1258
20414.61,0.2445,0.1132,0.1013,0.0624,0.0329,0.1536,0.1027,0.0206,0.0309,0.138,0.258
22341.37,0.3844,0.1262,0.0854,0.0711,0.0196,0.1117,0.0268,0.0168,0.0406,0.1175,0.2218
19786.51,0.2376,0.135,0.0592,0.0527,0.0241,0.1883,0.0596,0.005,0.027,0.2115,0.2826
24388.37,0.3714,0.1467,0.0816,0.0782,0.043,0.182,0.0493,0.0064,0.0311,0.0104,0.3072
21320.36,0.2802,0.1438,0.074,0.029,0.005,0.1259,0.0298,0.005,0.0186,0.2888,0.261
29249.42,0.4287,0.1136,0.079,0.0576,0.0217,0.1702,0.0251,0.0149,0.0458,0.0433,0.3673
18460.05,0.3086,0.102,0.0911,0.0466,0.0163,0.1313,0.0502,0.005,0.0559,0.193,0.2829
17308.44,0.3058,0.139,0.0841,0.0859,0.0139,0.1045,0.1319,0.0061,0.0457,0.0831,0.2401
24828.63,0.282,0.1231,0.045,0.031,0.0116,0.1123,0.1054,0.0099,0.0539,0.2258,0.1564
16141.96,0.3487,0.1557,0.1305,0.0709,0.0268,0.1341,0.0504,0.0285,0.0517,0.0028,0.1984
26961.39,0.3818,0.1193,0.0792,0.0604,0.0271,0.1542,0.081,0.0228,0.0243,0.05,0.2488
28213.06,0.3366,0.1244,0.1041,0.0421,0.0203,0.1255,0.0847,0.0228,0.0438,0.0956,0.2228
24477.2,0.4103,0.0795,0.1099,0.042,0.0254,0.1564,0.0807,0.0105,0.0642,0.0213,0.1335
28980.42,0.3143,0.1258,0.1015,0.036,0.032,0.1192,0.0753,0.005,0.0288,0.1621,0.2426
26373.95,0.3395,0.0589,0.0946,0.0419,0.0077,0.1824,0.005,0.0082,0.053,0.2087,0.2792
18311.54,0.3695,0.1031,0.0544,0.048,0.0385,0.1762,0.096,0.005,0.0095,0.0999,0.1785
29759.66,0.4218,0.1138,0.0658,0.0454,0.0295,0.1299,0.073,0.0066,0.0501,0.0641,0.2183
17782.88,0.3531,0.1251,0.0855,0.0716,0.0205,0.1529,0.0895,0.016,0.0357,0.05,0.3064
16759.62,0.38,0.0973,0.0528,0.0497,0.005,0.1405,0.0404,0.0156,0.0273,0.1913,0.2797
21828.3,0.3138,0.0473,0.0483,0.0585,0.0103,0.1728,0.1014,0.0095,0.0399,0.198,0.1505
24272.34,0.392,0.1734,0.0625,0.0483,0.0182,0.1511,0.0592,0.005,0.0439,0.0463,0.1562
25341.97,0.3043,0.1372,0.108,0.0371,0.027,0.1777,0.0724,0.0139,0.0579,0.0645,0.2581
20091.75,0.341,0.141,0.0722,0.0889,0.0155,0.1799,0.0817,0.0114,0.0184,0.05,0.1882
26845.48,0.3481,0.1843,0.1146,0.0524,0.0261,0.1631,0.0715,0.005,0.0349,0.0001,0.1199
28024.09,0.4246,0.1462,0.0427,0.09,0.0189,0.123,0.0075,0.0278,0.0073,0.1119,0.1856
23885.25,0.4184,0.1443,0.0603,0.0494,0.013,0.1447,0.0802,0.0045,0.0353,0.05,0.2904
18708.47,0.3375,0.1519,0.0353,0.0564,0.0237,0.1571,0.0238,0.0091,0.0561,0.1491,0.1453
19877.85,0.3126,0.1304,0.0791,0.0243,0.03,0.1643,0.0731,0.0051,0.0089,0.1723,0.1943
24257.17,0.2829,0.1356,0.0969,0.0482,0.0236,0.1867,0.1186,0.023,0.0339,0.0505,0.2428
16678.79,0.3443,0.1189,0.0946,0.0484,0.0208,0.1516,0.0993,0.005,0.0583,0.0589,0.2408
21821.1,0.1819,0.2081,0.0626,0.0629,0.0228,0.1621,0.0325,0.005,0.0615,0.2007,0.2102
17657.25,0.3565,0.1146,0.0705,0.0415,0.0187,0.1368,0.1412,0.0174,0.0528,0.05,0.2912
18235.13,0.2628,0.1689,0.0646,0.045,0.0234,0.1589,0.1102,0.0244,0.0513,0.0906,0.2413
21062.1,0.4452,0.0832,0.0919,0.0775,0.0185,0.171,0.0581,0.0113,0.0365,0.0068,0.2209
19868.79,0.2478,0.0707,0.0623,0.0439,0.0071,0.1966,0.0079,0.005,0.0434,0.3154,0.178
25023.19,0.2949,0.1876,0.0996,0.0958,0.0061,0.1403,0.005,0.005,0.0605,0.1052,0.3664
24118.58,0.4044,0.1373,0.0749,0.0611,0.0197,0.1618,0.0624,0.005,0.0226,0.0509,0.1609
19609.35,0.3644,0.1618,0.0984,0.0688,0.0102,0.1029,0.0304,0.0078,0.051,0.1044,0.1619
17721.58,0.4386,0.1116,0.0733,0.0427,0.0125,0.1074,0.1109,0.0094,0.0436,0.05,0.2284
24024.18,0.3539,0.1212,0.066,0.085,0.0076,0.1301,0.0139,0.005,0.0256,0.1917,0.2737
27339.21,0.4486,0.0861,0.0768,0.0229,0.0229,0.1146,0.1439,0.0045,0.0298,0.05,0.2472
16435.72,0.3535,0.1156,0.0993,0.0226,0.0191,0.2163,0.0477,0.0358,0.0239,0.0662,0.3183
21422.99,0.4281,0.1531,0.0861,0.0613,0.009,0.134,0.0051,0.005,0.0283,0.0901,0.2081
22785.9,0.3687,0.0733,0.0866,0.0575,0.0323,0.175,0.005,0.005,0.0735,0.1231,0.2451
21978.08,0.3577,0.0996,0.0602,0.0516,0.0358,0.1689,0.0334,0.0069,0.0663,0.1196,0.1471
26931.75,0.2626,0.1105,0.1043,0.0579,0.0219,0.1543,0.1628,0.0069,0.0427,0.0762,0.2109
26730.42,0.2644,0.0933,0.0659,0.0642,0.0115,0.1428,0.0735,0.005,0.0831,0.1963,0.1521
22735.19,0.3495,0.1452,0.0816,0.0442,0.0227,0.147,0.1068,0.0132,0.0266,0.0632,0.2795
16213.79,0.255,0.1094,0.0593,0.0534,0.0177,0.1894,0.072,0.012,0.0893,0.1425,0.202
26472.15,0.3508,0.0806,0.0587,0.0463,0.0206,0.1408,0.0456,0.0153,0.0386,0.2027,0.2492
19677.24,0.1189,0.1288,0.0857,0.0244,0.0103,0.1262,0.0916,0.0142,0.0262,0.3737,0.2162
29922.99,0.3619,0.1099,0.0677,0.0534,0.0216,0.1409,0.0545,0.01,0.0487,0.1313,0.2914
19593.8,0.3704,0.1792,0.0562,0.0663,0.0142,0.1365,0.0616,0.0047,0.0609,0.05,0.201
26004.22,0.3039,0.0423,0.0691,0.0537,0.0198,0.1618,0.0108,0.0158,0.0424,0.2805,0.1616
21815.66,0.2546,0.1188,0.1034,0.0411,0.0113,0.1241,0.005,0.005,0.0457,0.2911,0.2324
29330.02,0.2965,0.1512,0.0679,0.0402,0.0416,0.2048,0.0971,0.005,0.0548,0.0409,0.238
24550.05,0.2988,0.1251,0.0562,0.0844,0.0177,0.1519,0.0735,0.0109,0.0447,0.1368,0.1927
16081.27,0.2422,0.0909,0.104,0.0607,0.0319,0.1303,0.0281,0.0172,0.0599,0.2348,0.1746
24369.95,0.2498,0.1049,0.0856,0.0745,0.0142,0.1222,0.0957,0.0104,0.0691,0.1736,0.328
26221.1,0.3931,0.1522,0.0727,0.0107,0.0406,0.1248,0.0282,0.005,0.0356,0.1372,0.2034
28303.87,0.2428,0.1474,0.0861,0.0337,0.0321,0.158,0.1035,0.0086,0.0578,0.1301,0.2641
24842.43,0.3645,0.0811,0.088,0.0617,0.0324,0.1305,0.0489,0.0102,0.0462,0.1366,0.3221
23855.22,0.1981,0.1224,0.1162,0.068,0.0138,0.1687,0.0831,0.0148,0.035,0.1799,0.2188
18700.18,0.3333,0.0945,0.0684,0.0579,0.008,0.1677,0.1368,0.0144,0.0639,0.0551,0.1834
23313.4,0.234,0.0868,0.0709,0.0081,0.0259,0.1254,0.0373,0.0134,0.006,0.3921,0.3074
21189.33,0.2279,0.1579,0.069,0.0537,0.0354,0.2267,0.0474,0.0301,0.0812,0.0706,0.2925
25147.02,0.3,0.1448,0.0799,0.037,0.0295,0.1894,0.1146,0.0168,0.005,0.083,0.2681
17211.79,0.2927,0.064,0.0783,0.0626,0.0098,0.1463,0.1305,0.0285,0.0644,0.1228,0.2549
16775.04,0.4418,0.1109,0.104,0.057,0.0059,0.0919,0.0199,0.005,0.0294,0.1343,0.2663
22771.18,0.3759,0.1156,0.0707,0.0393,0.0083,0.1022,0.0905,0.005,0.0394,0.1531,0.3263
21552.76,0.422,0.1433,0.0871,0.0385,0.0235,0.1171,0.0858,0.0112,0.0205,0.0509,0.1665
18704.68,0.3319,0.131,0.0983,0.0446,0.0198,0.1259,0.1297,0.005,0.005,0.1088,0.273
20210.15,0.3698,0.1226,0.094,0.0379,0.0288,0.1529,0.0656,0.005,0.0178,0.1055,0.254
23479.95,0.3873,0.1189,0.0477,0.0338,0.022,0.1849,0.0406,0.0215,0.0197,0.1235,0.2237
27902.1,0.3264,0.1246,0.0876,0.0334,0.0073,0.2043,0.0667,0.0094,0.031,0.1092,0.3406
21176.48,0.3995,0.1817,0.0804,0.0775,0.0135,0.1282,0.0627,0.005,0.0303,0.0211,0.1628
26351.27,0.2343,0.1228,0.0728,0.0494,0.0194,0.1653,0.0827,0.005,0.0417,0.2066,0.2729
22467.19,0.3739,0.0974,0.0715,0.0212,0.0292,0.1845,0.0745,0.005,0.0775,0.0653,0.2848
26968.71,0.4112,0.1142,0.0556,0.0631,0.0283,0.1535,0.1093,0.0057,0.0347,0.0242,0.249
29752.82,0.3232,0.1079,0.0609,0.0286,0.0202,0.1627,0.1525,0.0241,0.0384,0.0814,0.2471
29761.65,0.4419,0.163,0.0562,0.0447,0.0379,0.1423,0.0713,0.0122,0.0239,0.0065,0.2558
27872.66,0.3408,0.1496,0.0561,0.0447,0.0047,0.1727,0.115,0.0047,0.0618,0.05,0.2186
20028.12,0.3937,0.0948,0.0687,0.0094,0.0276,0.1377,0.0435,0.0226,0.0096,0.1924,0.2946
27621.71,0.3823,0.1193,0.0619,0.0738,0.0154,0.1597,0.0228,0.012,0.0457,0.1071,0.2045
18407.69,0.3093,0.1433,0.1075,0.0525,0.0303,0.1804,0.005,0.005,0.0545,0.1122,0.26
24974.77,0.3828,0.1128,0.0935,0.0305,0.0311,0.207,0.0647,0.0088,0.005,0.0639,0.2708
29652.0,0.335,0.0917,0.0756,0.065,0.022,0.1627,0.0526,0.0132,0.0578,0.1246,0.1884
19222.82,0.3794,0.1751,0.0755,0.0439,0.028,0.1395,0.0692,0.005,0.0189,0.0653,0.1559
26147.9,0.3843,0.147,0.098,0.037,0.0208,0.1564,0.0994,0.0053,0.0253,0.0264,0.2222
27470.6,0.2758,0.1272,0.0995,0.07,0.005,0.165,0.0776,0.0168,0.0269,0.1362,0.1102
26608.19,0.3849,0.1161,0.1117,0.0777,0.009,0.1066,0.1087,0.0163,0.0189,0.05,0.2218
20767.67,0.4548,0.0996,0.0716,0.0729,0.012,0.1446,0.0623,0.0104,0.0218,0.05,0.1408
22087.4,0.3324,0.058,0.089,0.0366,0.018,0.1128,0.0342,0.0101,0.0617,0.2473,0.1853
23580.73,0.2,0.1235,0.0768,0.035,0.0168,0.1701,0.0785,0.005,0.0615,0.2328,0.2213
22403.2,0.3181,0.1004,0.0524,0.0464,0.0277,0.0943,0.1033,0.0253,0.0584,0.1737,0.1875
29325.91,0.3114,0.1244,0.1122,0.0322,0.005,0.1769,0.0593,0.005,0.0358,0.1379,0.1608
26267.67,0.366,0.1076,0.0979,0.0143,0.0207,0.1729,0.1096,0.0165,0.0446,0.05,0.2582
16808.38,0.2585,0.1233,0.0793,0.0124,0.0145,0.1438,0.0649,0.0109,0.0432,0.2493,0.1583
20147.51,0.3712,0.1407,0.0793,0.0311,0.0094,0.1556,0.1274,0.0044,0.0308,0.05,0.306
26975.71,0.3731,0.1278,0.0773,0.015,0.033,0.1743,0.1017,0.005,0.0607,0.032,0.2876
20618.29,0.3297,0.0836,0.0607,0.0468,0.0059,0.1371,0.072,0.0221,0.037,0.2051,0.1772
19668.26,0.4272,0.1685,0.0553,0.0556,0.0119,0.1322,0.0689,0.0142,0.0305,0.0356,0.2191
22581.83,0.3418,0.1323,0.058,0.0429,0.0191,0.1391,0.005,0.0123,0.0448,0.2047,0.2742
27400.61,0.3414,0.1334,0.0486,0.0529,0.0373,0.1162,0.0222,0.0323,0.0528,0.1629,0.2501
21606.62,0.2649,0.0938,0.0548,0.0599,0.0296,0.124,0.0724,0.005,0.0366,0.259,0.1535
24393.51,0.1476,0.1114,0.102,0.0599,0.0153,0.2088,0.0208,0.0089,0.0929,0.2323,0.1298
18416.25,0.3713,0.1731,0.0728,0.0675,0.0188,0.1584,0.0434,0.005,0.0397,0.0502,0.2434
27953.21,0.2082,0.1579,0.0619,0.0775,0.005,0.1304,0.0462,0.0414,0.0611,0.2106,0.2334
29711.09,0.3758,0.0927,0.0745,0.0387,0.0157,0.1643,0.0984,0.0169,0.0731,0.05,0.2315
28895.74,0.3485,0.1083,0.1025,0.0581,0.0103,0.1784,0.0391,0.005,0.0275,0.1223,0.2717
18160.57,0.3072,0.1457,0.0903,0.0381,0.027,0.1715,0.0869,0.0218,0.0517,0.0599,0.247
24204.06,0.3479,0.0935,0.0767,0.0471,0.0121,0.1277,0.043,0.0069,0.005,0.2401,0.2328
16152.93,0.4664,0.1201,0.0764,0.0358,0.01,0.1525,0.0635,0.005,0.0575,0.0128,0.1822
28938.42,0.4164,0.1142,0.0747,0.0252,0.0206,0.0899,0.0954,0.0128,0.0672,0.0836,0.1415
16843.81,0.3506,0.1501,0.1237,0.0538,0.0089,0.1113,0.044,0.0178,0.0569,0.0828,0.2536
27059.38,0.4348,0.2028,0.0878,0.0146,0.0131,0.1347,0.069,0.0059,0.0295,0.0077,0.2291
26229.68,0.2999,0.1205,0.0991,0.0725,0.0173,0.119,0.0357,0.005,0.0546,0.1765,0.1907
19700.22,0.371,0.1258,0.097,0.0479,0.0227,0.1459,0.0856,0.005,0.005,0.0941,0.2119
24490.68,0.3918,0.0955,0.0838,0.0712,0.022,0.1521,0.0278,0.0072,0.0312,0.1175,0.2284
20400.76,0.35,0.138,0.0511,0.0256,0.0149,0.0811,0.048,0.0085,0.0309,0.2517,0.3071
27332.7,0.3183,0.1345,0.0726,0.0573,0.0297,0.2131,0.0591,0.026,0.0252,0.0643,0.1949
24774.6,0.2804,0.1538,0.0562,0.0628,0.0167,0.1993,0.034,0.016,0.0291,0.1517,0.2102
16672.68,0.2105,0.1236,0.0495,0.005,0.0278,0.116,0.0613,0.005,0.0385,0.3629,0.2209
21961.43,0.3518,0.1364,0.0564,0.0644,0.0244,0.1834,0.0986,0.0102,0.0535,0.021,0.2555
16803.11,0.4285,0.0977,0.0368,0.023,0.0267,0.1577,0.1095,0.0168,0.005,0.0984,0.1638
19543.74,0.3417,0.0707,0.0765,0.0546,0.0074,0.1998,0.0708,0.005,0.0325,0.1409,0.2009
24336.2,0.3815,0.1624,0.0865,0.0816,0.0083,0.1389,0.0181,0.0185,0.0528,0.0515,0.2058
19357.57,0.4073,0.1118,0.0699,0.0872,0.0047,0.1467,0.0347,0.0112,0.0764,0.05,0.2204
16143.59,0.4173,0.1015,0.1238,0.0483,0.018,0.0932,0.0475,0.005,0.049,0.0965,0.2423
18629.66,0.2222,0.1339,0.1205,0.0368,0.0243,0.1091,0.0776,0.0102,0.0272,0.2384,0.2493
22153.5,0.2731,0.1449,0.1078,0.0259,0.0199,0.1853,0.0793,0.0256,0.0524,0.0857,0.2076
18430.15,0.25,0.1381,0.0976,0.0553,0.0156,0.1364,0.0512,0.0093,0.082,0.1643,0.2052
16777.54,0.2894,0.073,0.0531,0.053,0.021,0.1019,0.0799,0.0159,0.0638,0.249,0.1845
18765.02,0.1924,0.1468,0.0558,0.0309,0.0159,0.1719,0.0706,0.0169,0.0421,0.2567,0.2551
21549.21,0.3551,0.1794,0.0576,0.0398,0.0308,0.1611,0.0912,0.0054,0.0296,0.05,0.0117
18070.2,0.2498,0.1309,0.0977,0.054,0.0244,0.1374,0.005,0.014,0.0647,0.2221,0.1557
26566.84,0.2738,0.1327,0.0822,0.0167,0.0269,0.1816,0.0471,0.005,0.0254,0.2087,0.1586
19559.14,0.4043,0.0855,0.0933,0.0364,0.0319,0.1639,0.005,0.005,0.0307,0.1438,0.2477
20564.12,0.426,0.0624,0.0621,0.0526,0.0226,0.1431,0.1297,0.0046,0.0469,0.05,0.2263
15636.33,0.402,0.0749,0.101,0.055,0.04,0.1201,0.0546,0.0411,0.0521,0.0591,0.209
27412.59,0.386,0.1325,0.0852,0.0606,0.0139,0.1307,0.1004,0.0148,0.0259,0.05,0.2524
20180.13,0.3587,0.1335,0.083,0.059,0.0085,0.1865,0.065,0.0057,0.0502,0.05,0.2709
20765.33,0.3452,0.1336,0.0955,0.0764,0.0382,0.12,0.0777,0.0104,0.0352,0.0678,0.2361
27000.05,0.1777,0.1529,0.0704,0.0422,0.0306,0.1241,0.0977,0.0162,0.0537,0.2345,0.138
23576.19,0.3556,0.1008,0.06,0.0197,0.0322,0.1169,0.12,0.005,0.0263,0.1636,0.2109
26756.4,0.3071,0.0688,0.0577,0.039,0.0216,0.1871,0.0638,0.015,0.0623,0.1776,0.3069
17984.88,0.4716,0.1052,0.0741,0.0166,0.0067,0.1342,0.0497,0.0108,0.0703,0.0608,0.1832
25568.32,0.2023,0.0921,0.0501,0.021,0.0108,0.1305,0.0667,0.005,0.0441,0.3774,0.2242
24054.56,0.3433,0.1256,0.0839,0.075,0.0319,0.1256,0.1299,0.0201,0.0085,0.0561,0.2756
19066.44,0.4068,0.1208,0.0858,0.0221,0.0287,0.1511,0.0807,0.0205,0.0334,0.05,0.2174
23743.89,0.3238,0.0713,0.0778,0.0584,0.0114,0.1649,0.0546,0.0086,0.0463,0.1829,0.2314
21510.31,0.3151,0.0718,0.115,0.0638,0.015,0.1914,0.0183,0.0126,0.0459,0.1511,0.2059
26080.85,0.2941,0.0939,0.1141,0.0699,0.0241,0.141,0.1346,0.0145,0.012,0.1018,0.2324
24251.75,0.3931,0.1374,0.0607,0.0429,0.0288,0.1416,0.0912,0.0315,0.0228,0.05,0.1371
28430.19,0.4078,0.1295,0.1142,0.0276,0.0046,0.1185,0.096,0.0046,0.0472,0.05,0.2311
15960.1,0.306,0.1458,0.0723,0.0116,0.0199,0.1486,0.071,0.005,0.0301,0.1897,0.3066
24827.61,0.2941,0.1052,0.0909,0.0533,0.0131,0.1188,0.0754,0.0133,0.0198,0.2161,0.153
18749.35,0.4938,0.1326,0.0446,0.0514,0.0215,0.093,0.0752,0.0063,0.0316,0.05,0.2397
20316.37,0.4066,0.1203,0.1013,0.0503,0.0242,0.0858,0.014,0.0185,0.0435,0.1356,0.2299
26225.34,0.4799,0.0803,0.0835,0.0295,0.0148,0.114,0.086,0.0066,0.0555,0.05,0.2751
22724.0,0.3275,0.1327,0.0644,0.0195,0.0058,0.1414,0.0742,0.016,0.0371,0.1814,0.1844
18513.05,0.4317,0.1827,0.0483,0.0578,0.0113,0.0936,0.1448,0.0153,0.005,0.0095,0.2202
28057.9,0.3939,0.1866,0.085,0.0342,0.0243,0.1225,0.0566,0.005,0.0305,0.0613,0.1429
28435.12,0.3531,0.0765,0.074,0.0278,0.0346,0.1485,0.1748,0.02,0.0456,0.0451,0.3255
27541.77,0.3789,0.1302,0.0383,0.0786,0.0233,0.1444,0.0604,0.007,0.0382,0.1007,0.2814
16135.5,0.449,0.1063,0.0791,0.0051,0.0139,0.1517,0.1039,0.0121,0.064,0.0148,0.1905
