category,current_avg_monthly_spend,spend_vs_cluster_benchmark,spend_volatility_normalised,income_bracket_encoded,category_type,months_consistently_present,realistic_reduction_pct
fuel,517.65,0.5628,0.3197,0,0.45,8,0.0238
food,5491.02,0.9395,0.1909,0,0.5,10,0.2843
groceries,1766.98,0.8618,0.1909,0,0.15,11,0.0466
transport,2029.21,1.4576,0.1909,0,0.4,10,0.2284
shopping,1203.8,1.3763,0.1909,0,0.9,9,0.2519
entertainment,725.1,2.0296,0.1909,0,1.0,7,0.4317
utilities,2852.86,1.0938,0.1909,0,0.1,12,0.0893
healthcare,344.95,0.4864,0.1909,0,0.05,10,0.0128
investments,357.27,1.6111,0.1909,0,0.3,11,0.125
fuel,168.95,0.2443,0.1909,0,0.45,11,0.1753
food,6732.4,0.9967,0.2994,0,0.5,11,0.1842
groceries,3583.84,1.5124,0.2994,0,0.15,12,0.067
transport,1619.03,1.0063,0.2994,0,0.4,8,0.0476
shopping,974.27,0.9638,0.2994,0,0.9,9,0.2249
entertainment,101.7,0.2463,0.2994,0,1.0,9,0.259
utilities,2481.43,0.8232,0.2994,0,0.1,11,0.0143
healthcare,370.18,0.4516,0.2994,0,0.05,12,0.0291
investments,101.7,0.3968,0.2994,0,0.3,10,0.0485
fuel,1442.08,1.8041,0.2994,0,0.45,10,0.2675
food,7295.7,1.4011,0.1969,0,0.5,8,0.2706
groceries,1205.76,0.6601,0.1969,0,0.15,11,0.0475
transport,1619.7,1.3059,0.1969,0,0.4,10,0.2476
shopping,928.23,1.1911,0.1969,0,0.9,4,0.2759
entertainment,344.95,1.0837,0.1969,0,1.0,9,0.2681
utilities,2356.64,1.0142,0.1969,0,0.1,11,0.0575
healthcare,481.36,0.7618,0.1969,0,0.05,11,0.031
investments,78.4,0.3968,0.1969,0,0.3,10,0.0397
fuel,649.13,1.0534,0.1969,0,0.45,11,0.1681
food,5768.3,0.5583,0.2325,0,0.5,9,0.1902
groceries,4609.99,1.33,0.2325,0,0.15,10,0.1421
transport,1970.3,0.8747,0.2325,0,0.4,11,0.2033
shopping,1495.92,1.049,0.2325,0,0.9,6,0.2952
entertainment,710.12,1.2079,0.2325,0,1.0,7,0.4212
utilities,6207.77,1.451,0.2325,0,0.1,12,0.0619
healthcare,2837.59,1.001,0.2325,0,0.05,11,0.0761
investments,259.02,0.6846,0.2325,0,0.3,9,0.0651
fuel,881.83,0.7613,0.2325,0,0.45,11,0.1819
food,5992.76,0.8532,0.1864,0,0.5,10,0.0666
groceries,2878.66,1.2217,0.1864,0,0.15,11,0.0946
transport,1723.24,1.1253,0.1864,0,0.4,10,0.1554
shopping,1109.92,1.1449,0.1864,0,0.9,5,0.4206
entertainment,555.95,1.3911,0.1864,0,1.0,6,0.3252
utilities,2556.17,0.8789,0.1864,0,0.1,10,0.0588
healthcare,2097.17,1.0883,0.1864,0,0.05,12,0.0485
investments,322.49,1.2538,0.1864,0,0.3,8,0.0517
fuel,462.96,0.5879,0.1864,0,0.45,7,0.1759
food,5435.66,0.5831,0.2759,0,0.5,10,0.2062
groceries,2190.02,0.7003,0.2759,0,0.15,12,0.0713
transport,1748.86,0.8605,0.2759,0,0.4,8,0.0874
shopping,1081.88,0.8408,0.2759,0,0.9,9,0.3272
entertainment,417.52,0.7871,0.2759,0,1.0,8,0.3932
utilities,4855.33,1.2578,0.2759,0,0.1,11,0.0
healthcare,3468.84,1.3563,0.2759,0,0.05,11,0.0896
investments,330.87,0.9692,0.2759,0,0.3,8,0.0272
fuel,1055.62,1.0101,0.2759,0,0.45,7,0.1851
food,11084.77,1.1397,0.1471,0,0.5,8,0.1258
groceries,3032.83,0.9295,0.1471,0,0.15,11,0.0678
transport,2369.83,1.1176,0.1471,0,0.4,10,0.136
shopping,1695.87,1.2633,0.1471,0,0.9,7,0.2717
entertainment,323.28,0.5842,0.1471,0,1.0,4,0.2187
utilities,4002.68,0.9939,0.1471,0,0.1,10,0.0467
healthcare,2024.63,0.7587,0.1471,0,0.05,11,0.0197
investments,846.56,2.3769,0.1471,0,0.3,9,0.1262
fuel,545.2,0.5,0.1471,0,0.45,7,0.0934
food,10328.64,1.2397,0.3015,0,0.5,11,0.2202
groceries,3512.29,1.2017,0.3015,0,0.15,12,0.0579
transport,1655.79,0.8344,0.3015,0,0.4,8,0.1409
shopping,2142.5,1.7183,0.3015,0,0.9,5,0.3118
entertainment,423.98,0.8325,0.3015,0,1.0,5,0.2928
utilities,3755.64,1.0101,0.3015,0,0.1,11,0.0559
healthcare,125.44,0.1241,0.3015,0,0.05,10,0.0608
investments,451.58,1.4286,0.3015,0,0.3,7,0.089
fuel,1312.09,1.3308,0.3015,0,0.45,9,0.2114
food,6104.62,1.1129,0.3085,0,0.5,10,0.2662
groceries,1730.96,0.8996,0.3085,0,0.15,10,0.0423
transport,1166.09,0.8925,0.3085,0,0.4,11,0.1275
shopping,361.72,0.4406,0.3085,0,0.9,5,0.3
entertainment,211.42,0.6305,0.3085,0,1.0,4,0.2764
utilities,2593.14,1.0594,0.3085,0,0.1,10,0.0365
healthcare,199.85,0.3002,0.3085,0,0.05,10,0.0
investments,130.48,0.627,0.3085,0,0.3,9,0.03
fuel,763.08,1.1756,0.3085,0,0.45,7,0.1708
food,6960.17,0.9177,0.1694,0,0.5,11,0.1339
groceries,2561.46,1.0067,0.1694,0,0.15,10,0.0
transport,1418.53,0.8579,0.1694,0,0.4,11,0.1253
shopping,1397.16,1.3347,0.1694,0,0.9,5,0.2179
entertainment,531.95,1.2327,0.1694,0,1.0,6,0.195
utilities,3174.59,1.0109,0.1694,0,0.1,12,0.0
healthcare,2580.69,1.2402,0.1694,0,0.05,11,0.0391
investments,232.86,0.8385,0.1694,0,0.3,9,0.0332
fuel,237.13,0.2789,0.1694,0,0.45,9,0.0989
food,10311.87,1.0363,0.174,0,0.5,8,0.0913
groceries,3374.69,1.0109,0.174,0,0.15,10,0.0
transport,2298.38,1.0594,0.174,0,0.4,11,0.1582
shopping,1681.74,1.2245,0.174,0,0.9,7,0.2346
entertainment,967.0,1.7079,0.174,0,1.0,4,0.2613
utilities,3554.08,0.8626,0.174,0,0.1,12,0.0
healthcare,1990.06,0.729,0.174,0,0.05,10,0.0347
investments,549.37,1.5077,0.174,0,0.3,8,0.1119
fuel,2329.21,2.0879,0.174,0,0.45,9,0.3529
food,8106.14,1.0271,0.2417,0,0.5,9,0.1736
groceries,3548.07,1.2815,0.2417,0,0.15,10,0.0503
transport,1209.62,0.6435,0.2417,0,0.4,9,0.2151
shopping,544.21,0.4608,0.2417,0,0.9,6,0.2293
entertainment,720.07,1.4926,0.2417,0,1.0,4,0.4009
utilities,4123.18,1.1707,0.2417,0,0.1,10,0.071
healthcare,1513.81,1.5806,0.2417,0,0.05,11,0.094
investments,118.82,0.3968,0.2417,0,0.3,8,0.0371
fuel,118.82,0.1272,0.2417,0,0.45,10,0.2308
food,7566.25,0.7834,0.2943,0,0.5,7,0.2248
groceries,3667.49,1.1318,0.2943,0,0.15,10,0.0819
transport,1458.29,0.6925,0.2943,0,0.4,11,0.0742
shopping,1104.6,0.8286,0.2943,0,0.9,4,0.2489
entertainment,136.03,0.2475,0.2943,0,1.0,5,0.1788
utilities,5574.7,1.3939,0.2943,0,0.1,11,0.0812
healthcare,3188.65,1.2033,0.2943,0,0.05,12,0.1039
investments,639.36,1.8077,0.2943,0,0.3,9,0.1197
fuel,1025.7,0.9472,0.2943,0,0.45,9,0.0563
food,7243.17,0.9614,0.2521,0,0.5,7,0.1349
groceries,2510.6,0.9933,0.2521,0,0.15,10,0.0599
transport,1808.14,1.1008,0.2521,0,0.4,7,0.2621
shopping,1192.69,1.1469,0.2521,0,0.9,5,0.3251
entertainment,358.66,0.8366,0.2521,0,1.0,7,0.3477
utilities,3376.47,1.0823,0.2521,0,0.1,11,0.0317
healthcare,2771.63,1.3409,0.2521,0,0.05,12,0.0748
investments,106.11,0.3846,0.2521,0,0.3,11,0.0206
fuel,267.4,0.3166,0.2521,0,0.45,8,0.1255
food,5699.66,0.6403,0.3253,0,0.5,9,0.2034
groceries,3969.45,1.3291,0.3253,0,0.15,10,0.022
transport,2171.54,1.1189,0.3253,0,0.4,10,0.1927
shopping,1311.45,1.0673,0.3253,0,0.9,9,0.3335
entertainment,797.4,1.5743,0.3253,0,1.0,9,0.3174
utilities,3197.13,0.8673,0.3253,0,0.1,11,0.0321
healthcare,3309.97,1.3552,0.3253,0,0.05,12,0.0251
investments,268.31,0.8231,0.3253,0,0.3,9,0.0068
fuel,2036.13,2.0402,0.3253,0,0.45,10,0.3268
food,7555.41,0.8082,0.2118,0,0.5,11,0.1307
groceries,3149.96,0.9605,0.2118,0,0.15,12,0.0337
transport,3090.85,1.3881,0.2118,0,0.4,8,0.2304
shopping,1216.07,0.8692,0.2118,0,0.9,9,0.3608
entertainment,140.75,0.2463,0.2118,0,1.0,7,0.323
utilities,4962.81,1.1896,0.2118,0,0.1,10,0.0929
healthcare,1483.49,1.3077,0.2118,0,0.05,11,0.0954
investments,686.86,1.9365,0.2118,0,0.3,11,0.1134
fuel,1624.24,1.4682,0.2118,0,0.45,10,0.1651
food,9509.24,1.4158,0.2147,0,0.5,7,0.1976
groceries,2471.35,1.0489,0.2147,0,0.15,12,0.0335
transport,2277.2,1.4235,0.2147,0,0.4,8,0.2448
shopping,988.95,0.9839,0.2147,0,0.9,6,0.207
entertainment,481.33,1.1724,0.2147,0,1.0,5,0.3225
utilities,2196.31,0.7328,0.2147,0,0.1,10,0.0531
healthcare,101.12,0.1241,0.2147,0,0.05,10,0.0
investments,196.17,0.7698,0.2147,0,0.3,11,0.0295
fuel,101.12,0.1272,0.2147,0,0.45,7,0.194
food,8335.24,0.9583,0.1915,0,0.5,10,0.1999
groceries,2883.77,0.9882,0.1915,0,0.15,12,0.0294
transport,1421.06,0.7494,0.1915,0,0.4,9,0.1149
shopping,1082.94,0.902,0.1915,0,0.9,4,0.1568
entertainment,994.74,2.0099,0.1915,0,1.0,8,0.4083
utilities,4032.87,1.1197,0.1915,0,0.1,11,0.0499
healthcare,2447.65,1.0257,0.1915,0,0.05,10,0.0134
investments,166.61,0.5231,0.1915,0,0.3,11,0.0
fuel,761.98,0.7814,0.1915,0,0.45,11,0.1903
food,4802.57,0.9262,0.2328,0,0.5,9,0.0955
groceries,1501.97,0.8258,0.2328,0,0.15,11,0.0208
transport,1216.26,0.9848,0.2328,0,0.4,7,0.0928
shopping,405.94,0.5231,0.2328,0,0.9,7,0.2766
entertainment,618.28,1.9507,0.2328,0,1.0,5,0.3437
utilities,1856.39,0.8023,0.2328,0,0.1,10,0.0271
healthcare,747.86,1.1886,0.2328,0,0.05,12,0.1112
investments,162.38,0.8254,0.2328,0,0.3,8,0.0133
fuel,405.94,0.6616,0.2328,0,0.45,8,0.1989
food,11750.15,1.259,0.0885,0,0.5,8,0.1693
groceries,2849.71,0.8704,0.0885,0,0.15,11,0.0
transport,1835.17,0.8255,0.0885,0,0.4,8,0.0801
shopping,713.83,0.5111,0.0885,0,0.9,4,0.2876
entertainment,1228.13,2.1527,0.0885,0,1.0,4,0.3621
utilities,4704.56,1.1296,0.0885,0,0.1,10,0.0512
healthcare,1351.79,1.1935,0.0885,0,0.05,11,0.0963
investments,193.92,0.5476,0.0885,0,0.3,7,0.035
fuel,772.85,0.6997,0.0885,0,0.45,11,0.1382
food,10382.6,1.1158,0.1347,0,0.5,9,0.2579
groceries,3389.22,1.0856,0.1347,0,0.15,12,0.0163
transport,3711.63,1.8295,0.1347,0,0.4,10,0.249
shopping,809.95,0.6306,0.1347,0,0.9,7,0.2064
entertainment,131.06,0.2475,0.1347,0,1.0,4,0.2745
utilities,4812.53,1.249,0.1347,0,0.1,11,0.0281
healthcare,1701.16,0.6663,0.1347,0,0.05,12,0.0023
investments,314.54,0.9231,0.1347,0,0.3,10,0.0231
fuel,652.68,0.6256,0.1347,0,0.45,7,0.0824
food,4056.31,0.7983,0.2198,0,0.5,10,0.1002
groceries,1536.23,0.8618,0.2198,0,0.15,10,0.0504
transport,986.92,0.8154,0.2198,0,0.4,10,0.2165
shopping,1043.53,1.3722,0.2198,0,0.9,5,0.3266
entertainment,468.21,1.5074,0.2198,0,1.0,4,0.4217
utilities,2134.5,0.9413,0.2198,0,0.1,11,0.0534
healthcare,1204.19,1.9529,0.2198,0,0.05,12,0.0477
investments,252.47,1.3095,0.2198,0,0.3,11,0.0949
fuel,344.27,0.5725,0.2198,0,0.45,10,0.1624
food,10878.1,1.4207,0.2538,0,0.5,10,0.2178
groceries,3140.31,1.1691,0.2538,0,0.15,11,0.0985
transport,1367.26,0.7497,0.2538,0,0.4,9,0.1596
shopping,514.16,0.4487,0.2538,0,0.9,5,0.2912
entertainment,675.56,1.4433,0.2538,0,1.0,6,0.3275
utilities,3327.07,0.9737,0.2538,0,0.1,10,0.0518
healthcare,806.98,0.8685,0.2538,0,0.05,10,0.0548
investments,670.95,2.3095,0.2538,0,0.3,8,0.1789
fuel,276.68,0.3053,0.2538,0,0.45,7,0.1553
food,5179.48,0.9437,0.2149,0,0.5,10,0.1815
groceries,1672.51,0.8687,0.2149,0,0.15,10,0.0266
transport,1196.54,0.9153,0.2149,0,0.4,8,0.1891
shopping,646.2,0.7867,0.2149,0,0.9,5,0.2359
entertainment,82.63,0.2463,0.2149,0,1.0,7,0.3161
utilities,2274.08,0.9285,0.2149,0,0.1,12,0.0349
healthcare,609.84,0.9156,0.2149,0,0.05,10,0.0634
investments,277.65,1.3333,0.2149,0,0.3,8,0.1001
fuel,789.98,1.2163,0.2149,0,0.45,9,0.2859
food,8503.92,0.9151,0.2542,0,0.5,9,0.1667
groceries,3993.12,1.2249,0.2542,0,0.15,12,0.0869
transport,2518.43,1.1378,0.2542,0,0.4,11,0.206
shopping,1818.87,1.3078,0.2542,0,0.9,8,0.2654
entertainment,139.91,0.2463,0.2542,0,1.0,6,0.3409
utilities,3377.5,0.8144,0.2542,0,0.1,12,0.037
healthcare,2070.71,1.8362,0.2542,0,0.05,12,0.1945
investments,430.93,1.2222,0.2542,0,0.3,10,0.0606
fuel,747.14,0.6794,0.2542,0,0.45,9,0.1264
food,7394.07,1.1213,0.1233,0,0.5,9,0.1978
groceries,750.53,0.3245,0.1233,0,0.15,11,0.0454
transport,1405.75,0.8951,0.1233,0,0.4,9,0.0243
shopping,1310.44,1.328,0.1233,0,0.9,5,0.3956
entertainment,170.75,0.4236,0.1233,0,1.0,5,0.277
utilities,2795.61,0.9501,0.1233,0,0.1,10,0.0
healthcare,178.7,0.2233,0.1233,0,0.05,10,0.038
investments,252.16,1.0079,0.1233,0,0.3,7,0.0
fuel,1900.14,2.4351,0.1233,0,0.45,8,0.1867
food,4436.59,0.7921,0.1722,0,0.5,11,0.1702
groceries,1711.84,0.911,0.1722,0,0.15,11,0.0
transport,1579.31,1.2933,0.1722,0,0.4,11,0.2412
shopping,432.3,0.5592,0.1722,0,0.9,4,0.2606
