user_idx,category,estimated_monthly_saving,spend_vs_benchmark_ratio,category_acceptance_rate,user_has_reduced_before,goal_months_remaining,gap_to_goal,category_priority_rank,category_type,relevance
11,food,1600.16,1.1485,0.45,0,12,202.15,1,0.5,1
11,groceries,161.41,1.1058,0.3,0,12,202.15,2,0.15,0
11,transport,352.86,1.1434,0.35,0,12,202.15,5,0.4,0
11,shopping,106.95,0.4143,0.6,1,12,202.15,8,0.9,2
11,entertainment,149.16,1.1832,0.65,0,12,202.15,7,1.0,1
11,utilities,85.59,0.7707,0.25,0,12,202.15,4,0.1,0
11,healthcare,171.95,1.1961,0.15,0,12,202.15,3,0.05,0
11,investments,79.03,2.2692,0.2,0,12,202.15,6,0.3,0
11,fuel,49.73,0.4673,0.4,1,12,202.15,9,0.45,1
12,food,1401.71,1.2327,0.45,1,24,12873.65,1,0.5,1
12,groceries,141.5,1.1041,0.3,0,24,12873.65,2,0.15,0
12,transport,176.69,0.9315,0.35,1,24,12873.65,5,0.4,1
12,shopping,102.02,0.4694,0.6,1,24,12873.65,7,0.9,2
12,entertainment,113.13,1.1287,0.65,1,24,12873.65,8,1.0,2
12,utilities,76.36,0.851,0.25,0,24,12873.65,3,0.1,0
12,healthcare,54.5,0.886,0.15,1,24,12873.65,4,0.05,1
12,investments,2.53,0.3462,0.2,0,24,12873.65,9,0.3,0
12,fuel,145.54,1.1834,0.4,0,24,12873.65,6,0.45,0
13,food,775.19,0.8651,0.45,0,3,1499.12,1,0.5,0
13,groceries,75.59,0.9468,0.3,0,3,1499.12,3,0.15,0
13,transport,348.94,1.2174,0.35,0,3,1499.12,4,0.4,0
13,shopping,430.66,1.5312,0.6,1,3,1499.12,6,0.9,2
13,entertainment,22.87,0.2463,0.65,1,3,1499.12,9,1.0,2
13,utilities,77.93,0.7632,0.25,1,3,1499.12,2,0.1,1
13,healthcare,144.99,1.9628,0.15,0,3,1499.12,5,0.05,0
13,investments,8.15,0.9365,0.2,1,3,1499.12,8,0.3,1
13,fuel,159.27,1.1501,0.4,0,3,1499.12,7,0.45,0
14,food,1684.67,1.1454,0.45,1,18,9298.44,1,0.5,2
14,groceries,73.42,0.707,0.3,1,18,9298.44,3,0.15,1
14,transport,256.45,1.0685,0.35,1,18,9298.44,4,0.4,1
14,shopping,392.73,1.2245,0.6,1,18,9298.44,6,0.9,2
14,entertainment,108.25,0.9653,0.65,1,18,9298.44,8,1.0,2
14,utilities,289.99,1.1367,0.25,0,18,9298.44,2,0.1,0
14,healthcare,67.47,0.7269,0.15,0,18,9298.44,5,0.05,0
14,investments,3.4,0.3462,0.2,1,18,9298.44,9,0.3,1
14,fuel,229.9,1.3719,0.4,0,18,9298.44,7,0.45,0
15,food,651.87,0.7662,0.45,1,6,14398.94,1,0.5,1
15,groceries,130.0,1.2057,0.3,0,6,14398.94,2,0.15,0
15,transport,328.48,1.3333,0.35,0,6,14398.94,5,0.4,0
15,shopping,318.47,1.1898,0.6,0,6,14398.94,6,0.9,1
15,entertainment,153.62,1.396,0.65,1,6,14398.94,9,1.0,2
15,utilities,36.63,0.8531,0.25,0,6,14398.94,3,0.1,0
15,healthcare,86.34,1.114,0.15,0,6,14398.94,4,0.05,0
15,investments,61.39,2.2308,0.2,0,6,14398.94,8,0.3,0
15,fuel,82.0,0.8819,0.4,0,6,14398.94,7,0.45,0
16,food,1127.77,1.0501,0.45,1,12,205.94,1,0.5,1
16,groceries,73.99,0.8405,0.3,1,12,205.94,4,0.15,1
16,transport,362.01,1.1938,0.35,1,12,205.94,5,0.4,1
16,shopping,249.26,0.9388,0.6,1,12,205.94,6,0.9,2
16,entertainment,29.51,0.2624,0.65,1,12,205.94,9,1.0,2
16,utilities,114.03,1.0027,0.25,1,12,205.94,3,0.1,1
16,healthcare,300.28,1.6335,0.15,0,12,205.94,2,0.05,0
16,investments,6.56,0.6615,0.2,0,12,205.94,8,0.3,0
16,fuel,52.77,0.4623,0.4,1,12,205.94,7,0.45,1
17,food,655.99,0.7445,0.45,0,24,11078.97,1,0.5,0
17,groceries,172.55,1.1293,0.3,1,24,11078.97,3,0.15,1
17,transport,179.06,0.9755,0.35,0,24,11078.97,5,0.4,0
17,shopping,205.59,0.9898,0.6,1,24,11078.97,6,0.9,2
17,entertainment,48.64,0.5693,0.65,1,24,11078.97,8,1.0,2
17,utilities,218.72,1.166,0.25,0,24,11078.97,2,0.1,0
17,healthcare,52.19,0.9127,0.15,0,24,11078.97,4,0.05,0
17,investments,3.05,0.3846,0.2,1,24,11078.97,9,0.3,1
17,fuel,65.48,0.7814,0.4,0,24,11078.97,7,0.45,0
18,food,1042.87,1.0501,0.45,1,3,1776.31,1,0.5,1
18,groceries,78.49,0.9446,0.3,1,3,1776.31,3,0.15,1
18,transport,203.37,1.0969,0.35,0,3,1776.31,4,0.4,0
18,shopping,148.94,0.6327,0.6,1,3,1776.31,7,0.9,2
18,entertainment,157.57,1.3861,0.65,0,3,1776.31,8,1.0,1
18,utilities,240.69,1.2646,0.25,0,3,1776.31,2,0.1,0
18,healthcare,58.39,0.7454,0.15,1,3,1776.31,5,0.05,1
18,investments,6.88,0.7385,0.2,0,3,1776.31,9,0.3,0
18,fuel,184.76,1.3216,0.4,1,3,1776.31,6,0.45,1
19,food,1021.33,0.6755,0.45,0,18,11340.72,1,0.5,0
19,groceries,94.84,0.7716,0.3,1,18,11340.72,4,0.15,1
19,transport,467.28,1.1667,0.35,0,18,11340.72,6,0.4,0
19,shopping,1405.51,2.5939,0.6,1,18,11340.72,3,0.9,2
19,entertainment,216.71,1.2723,0.65,1,18,11340.72,8,1.0,2
19,utilities,327.2,1.1252,0.25,0,18,11340.72,2,0.1,0
19,healthcare,89.61,0.9302,0.15,0,18,11340.72,5,0.05,0
19,investments,52.41,1.6462,0.2,0,18,11340.72,9,0.3,0
19,fuel,319.28,1.4849,0.4,0,18,11340.72,7,0.45,0
20,food,1180.69,0.7763,0.45,0,6,17186.54,1,0.5,0
20,groceries,90.36,0.6438,0.3,0,6,17186.54,4,0.15,0
20,transport,374.68,1.0531,0.35,0,6,17186.54,3,0.4,0
20,shopping,299.85,0.7907,0.6,1,6,17186.54,6,0.9,2
20,entertainment,40.38,0.2463,0.65,0,6,17186.54,9,1.0,1
20,utilities,152.48,0.8387,0.25,0,6,17186.54,2,0.1,0
20,healthcare,218.11,1.6973,0.15,0,6,17186.54,5,0.05,0
20,investments,17.36,1.0794,0.2,1,6,17186.54,8,0.3,1
20,fuel,145.14,0.8066,0.4,0,6,17186.54,7,0.45,0
21,food,691.81,0.9401,0.45,1,12,148.34,1,0.5,1
21,groceries,153.95,1.3107,0.3,0,12,148.34,2,0.15,0
21,transport,197.0,1.0278,0.35,1,12,148.34,4,0.4,1
21,shopping,308.41,1.2797,0.6,1,12,148.34,5,0.9,2
21,entertainment,55.06,0.6256,0.65,0,12,148.34,8,1.0,1
21,utilities,83.64,0.7942,0.25,1,12,148.34,3,0.1,1
21,healthcare,29.23,1.0273,0.15,1,12,148.34,6,0.05,1
21,investments,8.66,0.9683,0.2,0,12,148.34,9,0.3,0
21,fuel,98.88,1.0407,0.4,0,12,148.34,7,0.45,0
22,food,2002.27,1.1792,0.45,1,24,19058.57,1,0.5,2
22,groceries,237.22,1.1092,0.3,1,24,19058.57,3,0.15,1
22,transport,256.04,0.9457,0.35,0,24,19058.57,5,0.4,0
22,shopping,221.06,0.6959,0.6,0,24,19058.57,6,0.9,1
22,entertainment,95.2,0.703,0.65,1,24,19058.57,8,1.0,2
22,utilities,118.02,1.0129,0.25,1,24,19058.57,2,0.1,1
22,healthcare,92.67,1.0472,0.15,1,24,19058.57,4,0.05,1
22,investments,4.32,0.3538,0.2,1,24,19058.57,9,0.3,1
22,fuel,72.08,0.5628,0.4,1,24,19058.57,7,0.45,1
23,food,919.29,0.9395,0.45,0,3,1592.6,1,0.5,0
23,groceries,58.57,0.8618,0.3,1,3,1592.6,4,0.15,1
23,transport,425.26,1.4576,0.35,0,3,1592.6,3,0.4,0
23,shopping,399.5,1.3763,0.6,0,3,1592.6,5,0.9,1
23,entertainment,281.12,2.0296,0.65,1,3,1592.6,6,1.0,2
23,utilities,124.22,1.0938,0.25,1,3,1592.6,2,0.1,1
23,healthcare,12.08,0.4864,0.15,0,3,1592.6,8,0.05,0
23,investments,42.21,1.6111,0.2,0,3,1592.6,7,0.3,0
23,fuel,26.13,0.2443,0.4,0,3,1592.6,9,0.45,0
24,food,1050.51,0.9967,0.45,1,18,8482.42,1,0.5,1
24,groceries,414.71,1.5124,0.3,1,18,8482.42,2,0.15,1
24,transport,239.06,1.0063,0.35,0,18,8482.42,4,0.4,0
24,shopping,284.21,0.9638,0.6,1,18,8482.42,6,0.9,2
24,entertainment,29.87,0.2463,0.65,1,18,8482.42,8,1.0,2
24,utilities,95.94,0.8232,0.25,0,18,8482.42,3,0.1,0
24,healthcare,14.92,0.4516,0.15,0,18,8482.42,7,0.05,0
24,investments,4.07,0.3968,0.2,0,18,8482.42,8,0.3,0
24,fuel,344.62,1.8041,0.4,1,18,8482.42,5,0.45,1
25,food,1532.07,1.4011,0.45,0,6,12985.47,1,0.5,1
25,groceries,47.68,0.6601,0.3,1,6,12985.47,4,0.15,1
25,transport,344.78,1.3059,0.35,0,6,12985.47,3,0.4,0
25,shopping,298.94,1.1911,0.6,1,6,12985.47,5,0.9,2
25,entertainment,100.07,1.0837,0.65,1,6,12985.47,8,1.0,2
25,utilities,99.86,1.0142,0.25,1,6,12985.47,2,0.1,1
25,healthcare,17.23,0.7618,0.15,0,6,12985.47,7,0.05,0
25,investments,2.72,0.3968,0.2,0,6,12985.47,9,0.3,0
25,fuel,99.24,1.0534,0.4,0,6,12985.47,6,0.45,0
26,food,937.02,0.5583,0.45,0,12,282.57,2,0.5,0
26,groceries,372.42,1.33,0.3,0,12,282.57,3,0.15,0
26,transport,319.85,0.8747,0.35,0,12,282.57,5,0.4,0
26,shopping,414.37,1.049,0.6,0,12,282.57,6,0.9,1
26,entertainment,250.04,1.2079,0.65,1,12,282.57,8,1.0,2
26,utilities,490.54,1.451,0.25,1,12,282.57,1,0.1,1
26,healthcare,119.2,1.001,0.15,0,12,282.57,4,0.05,0
26,investments,10.53,0.6846,0.2,0,12,282.57,9,0.3,0
26,fuel,145.48,0.7613,0.4,1,12,282.57,7,0.45,1
27,food,948.68,0.8532,0.45,0,24,15363.37,1,0.5,0
27,groceries,226.23,1.2217,0.3,0,24,15363.37,2,0.15,0
27,transport,357.16,1.1253,0.35,0,24,15363.37,5,0.4,0
27,shopping,404.44,1.1449,0.6,1,24,15363.37,6,0.9,2
27,entertainment,185.73,1.3911,0.65,1,24,15363.37,7,1.0,2
27,utilities,114.01,0.8789,0.25,0,24,15363.37,3,0.1,0
27,healthcare,87.09,1.0883,0.15,0,24,15363.37,4,0.05,0
27,investments,27.0,1.2538,0.2,0,24,15363.37,9,0.3,0
27,fuel,73.69,0.5879,0.4,0,24,15363.37,8,0.45,0
28,food,841.64,0.5831,0.45,1,3,2194.3,1,0.5,1
28,groceries,100.41,0.7003,0.3,1,3,2194.3,4,0.15,1
28,transport,273.97,0.8605,0.35,1,3,2194.3,5,0.4,1
28,shopping,289.44,0.8408,0.6,0,3,2194.3,6,0.9,1
28,entertainment,118.43,0.7871,0.65,0,3,2194.3,8,1.0,1
28,utilities,302.81,1.2578,0.25,1,3,2194.3,2,0.1,1
28,healthcare,224.5,1.3563,0.15,1,3,2194.3,3,0.05,1
28,investments,13.28,0.9692,0.2,0,3,2194.3,9,0.3,0
28,fuel,162.26,1.0101,0.4,1,3,2194.3,7,0.45,1
29,food,1978.4,1.1397,0.45,0,18,12633.82,1,0.5,1
29,groceries,44.42,0.9295,0.3,1,18,12633.82,3,0.15,1
29,transport,395.93,1.1176,0.35,1,18,12633.82,4,0.4,1
29,shopping,499.5,1.2633,0.6,0,18,12633.82,6,0.9,1
29,entertainment,80.37,0.5842,0.65,1,18,12633.82,9,1.0,2
29,utilities,65.44,0.9939,0.25,1,18,12633.82,2,0.1,1
29,healthcare,30.09,0.7587,0.15,1,18,12633.82,5,0.05,1
29,investments,96.02,2.3769,0.2,1,18,12633.82,7,0.3,1
29,fuel,69.19,0.5,0.4,1,18,12633.82,8,0.45,1
30,food,2182.44,1.2397,0.45,1,6,20578.98,1,0.5,2
30,groceries,274.9,1.2017,0.3,1,6,20578.98,3,0.15,1
30,transport,267.45,0.8344,0.35,1,6,20578.98,5,0.4,1
30,shopping,794.35,1.7183,0.6,1,6,20578.98,4,0.9,2
30,entertainment,120.17,0.8325,0.65,1,6,20578.98,8,1.0,2
30,utilities,141.32,1.0101,0.25,0,6,20578.98,2,0.1,0
30,healthcare,5.45,0.1241,0.15,1,6,20578.98,9,0.05,1
30,investments,35.93,1.4286,0.2,0,6,20578.98,7,0.3,0
30,fuel,268.28,1.3308,0.4,0,6,20578.98,6,0.45,0
31,food,1284.93,1.1129,0.45,0,12,151.46,1,0.5,0
31,groceries,66.54,0.8996,0.3,1,12,151.46,3,0.15,1
31,transport,184.97,0.8925,0.35,1,12,151.46,4,0.4,1
31,shopping,104.1,0.4406,0.6,1,12,151.46,6,0.9,2
31,entertainment,63.29,0.6305,0.65,1,12,151.46,7,1.0,2
31,utilities,86.48,1.0594,0.25,0,12,151.46,2,0.1,0
31,healthcare,7.12,0.3002,0.15,0,12,151.46,8,0.05,0
31,investments,5.04,0.627,0.2,1,12,151.46,9,0.3,1
31,fuel,156.97,1.1756,0.4,1,12,151.46,5,0.45,1
32,food,886.81,0.9177,0.45,0,24,16574.45,1,0.5,0
32,groceries,37.62,1.0067,0.3,1,24,16574.45,4,0.15,1
32,transport,184.71,0.8579,0.35,0,24,16574.45,5,0.4,0
32,shopping,415.76,1.3347,0.6,1,24,16574.45,6,0.9,2
32,entertainment,153.31,1.2327,0.65,0,24,16574.45,7,1.0,1
32,utilities,42.84,1.0109,0.25,1,24,16574.45,2,0.1,1
32,healthcare,101.4,1.2402,0.15,0,24,16574.45,3,0.05,0
32,investments,4.11,0.8385,0.2,0,24,16574.45,9,0.3,0
32,fuel,29.72,0.2789,0.4,0,24,16574.45,8,0.45,0
33,food,1306.76,1.0363,0.45,0,3,2884.18,1,0.5,0
33,groceries,55.12,1.0109,0.3,0,3,2884.18,3,0.15,0
33,transport,293.15,1.0594,0.35,0,3,2884.18,5,0.4,0
33,shopping,481.71,1.2245,0.6,0,3,2884.18,7,0.9,1
33,entertainment,322.76,1.7079,0.65,1,3,2884.18,8,1.0,2
33,utilities,55.11,0.8626,0.25,0,3,2884.18,2,0.1,0
33,healthcare,29.51,0.729,0.15,0,3,2884.18,6,0.05,0
33,investments,44.82,1.5077,0.2,0,3,2884.18,9,0.3,0
33,fuel,600.51,2.0879,0.4,1,3,2884.18,4,0.45,1
34,food,1213.76,1.0271,0.45,1,18,9747.53,1,0.5,1
34,groceries,271.55,1.2815,0.3,0,18,9747.53,3,0.15,0
34,transport,194.63,0.6435,0.35,1,18,9747.53,5,0.4,1
34,shopping,151.16,0.4608,0.6,1,18,9747.53,7,0.9,2
34,entertainment,240.93,1.4926,0.65,1,18,9747.53,6,1.0,2
34,utilities,308.55,1.1707,0.25,0,18,9747.53,2,0.1,0
34,healthcare,172.05,1.5806,0.15,1,18,9747.53,4,0.05,1
34,investments,5.12,0.3968,0.2,1,18,9747.53,8,0.3,1
34,fuel,18.1,0.1272,0.4,1,18,9747.53,8,0.45,1
35,food,1262.64,0.7834,0.45,1,6,21145.9,1,0.5,1
35,groceries,300.01,1.1318,0.3,0,6,21145.9,3,0.15,0
35,transport,236.38,0.6925,0.35,0,6,21145.9,5,0.4,0
35,shopping,299.84,0.8286,0.6,1,6,21145.9,6,0.9,2
35,entertainment,37.42,0.2475,0.65,0,6,21145.9,9,1.0,1
35,utilities,415.9,1.3939,0.25,0,6,21145.9,2,0.1,0
35,healthcare,268.93,1.2033,0.15,0,6,21145.9,4,0.05,0
35,investments,69.83,1.8077,0.2,1,6,21145.9,8,0.3,1
35,fuel,164.18,0.9472,0.4,0,6,21145.9,7,0.45,0
36,food,1093.13,0.9614,0.45,0,12,224.26,1,0.5,0
36,groceries,98.98,0.9933,0.3,0,12,224.26,4,0.15,0
36,transport,365.31,1.1008,0.35,0,12,224.26,5,0.4,0
36,shopping,392.41,1.1469,0.6,1,12,224.26,6,0.9,2
36,entertainment,103.39,0.8366,0.65,1,12,224.26,7,1.0,2
36,utilities,143.56,1.0823,0.25,1,12,224.26,2,0.1,1
36,healthcare,181.81,1.3409,0.15,0,12,224.26,3,0.05,0
36,investments,4.22,0.3846,0.2,1,12,224.26,9,0.3,1
36,fuel,31.67,0.3166,0.4,0,12,224.26,8,0.45,0
37,food,957.01,0.6403,0.45,0,24,19757.04,1,0.5,0
37,groceries,291.47,1.3291,0.3,1,24,19757.04,2,0.15,1
37,transport,444.9,1.1189,0.35,0,24,19757.04,5,0.4,0
37,shopping,420.73,1.0673,0.6,1,24,19757.04,7,0.9,2
37,entertainment,282.82,1.5743,0.65,0,24,19757.04,8,1.0,1
37,utilities,118.68,0.8673,0.25,1,24,19757.04,4,0.1,1
37,healthcare,257.84,1.3552,0.15,0,24,19757.04,3,0.05,0
37,investments,9.98,0.8231,0.2,1,24,19757.04,9,0.3,1
37,fuel,569.58,2.0402,0.4,0,24,19757.04,6,0.45,0
38,food,1188.0,0.8082,0.45,0,3,2548.83,1,0.5,0
38,groceries,122.13,0.9605,0.3,0,3,2548.83,3,0.15,0
38,transport,631.91,1.3881,0.35,0,3,2548.83,4,0.4,0
38,shopping,346.59,0.8692,0.6,0,3,2548.83,7,0.9,1
38,entertainment,39.85,0.2463,0.65,0,3,2548.83,9,1.0,1
38,utilities,365.47,1.1896,0.25,1,3,2548.83,2,0.1,1
38,healthcare,100.62,1.3077,0.15,0,3,2548.83,6,0.05,0
38,investments,77.74,1.9365,0.2,1,3,2548.83,8,0.3,1
38,fuel,336.03,1.4682,0.4,0,3,2548.83,5,0.45,0
39,food,1955.09,1.4158,0.45,1,18,8928.87,1,0.5,2
39,groceries,98.84,1.0489,0.3,0,18,8928.87,2,0.15,0
39,transport,496.0,1.4235,0.35,0,18,8928.87,3,0.4,0
39,shopping,267.72,0.9839,0.6,1,18,8928.87,5,0.9,2
39,entertainment,157.2,1.1724,0.65,1,18,8928.87,6,1.0,2
39,utilities,99.64,0.7328,0.25,0,18,8928.87,4,0.1,0
39,healthcare,4.01,0.1241,0.15,0,18,8928.87,8,0.05,0
39,investments,6.88,0.7698,0.2,0,18,8928.87,7,0.3,0
39,fuel,16.18,0.1272,0.4,0,18,8928.87,8,0.45,0
40,food,1326.22,0.9583,0.45,0,6,19206.56,1,0.5,0
40,groceries,114.03,0.9882,0.3,1,6,19206.56,3,0.15,1
40,transport,223.49,0.7494,0.35,1,6,19206.56,5,0.4,1
40,shopping,286.55,0.902,0.6,1,6,19206.56,6,0.9,2
40,entertainment,375.97,2.0099,0.65,1,6,19206.56,7,1.0,2
40,utilities,275.5,1.1197,0.25,0,6,19206.56,2,0.1,0
40,healthcare,103.57,1.0257,0.15,0,6,19206.56,4,0.05,0
40,investments,5.9,0.5231,0.2,0,6,19206.56,9,0.3,0
40,fuel,123.46,0.7814,0.4,1,6,19206.56,8,0.45,1
41,food,742.2,0.9262,0.45,0,12,133.83,1,0.5,0
41,groceries,53.73,0.8258,0.3,0,12,133.83,3,0.15,0
41,transport,175.91,0.9848,0.35,1,12,133.83,4,0.4,1
41,shopping,113.27,0.5231,0.6,1,12,133.83,7,0.9,2
41,entertainment,237.34,1.9507,0.65,1,12,133.83,6,1.0,2
41,utilities,70.16,0.8023,0.25,1,12,133.83,2,0.1,1
41,healthcare,58.37,1.1886,0.15,1,12,133.83,5,0.05,1
41,investments,5.9,0.8254,0.2,0,12,133.83,9,0.3,0
41,fuel,59.23,0.6616,0.4,1,12,133.83,7,0.45,1
42,food,2035.16,1.259,0.45,1,24,22047.81,1,0.5,2
42,groceries,49.13,0.8704,0.3,0,24,22047.81,3,0.15,0
42,transport,228.63,0.8255,0.35,0,24,22047.81,4,0.4,0
42,shopping,181.62,0.5111,0.6,0,24,22047.81,8,0.9,1
42,entertainment,460.95,2.1527,0.65,0,24,22047.81,6,1.0,1
42,utilities,233.06,1.1296,0.25,0,24,22047.81,2,0.1,0
42,healthcare,75.72,1.1935,0.15,0,24,22047.81,5,0.05,0
42,investments,3.18,0.5476,0.2,0,24,22047.81,9,0.3,0
42,fuel,98.43,0.6997,0.4,0,24,22047.81,7,0.45,0
43,food,1896.8,1.1158,0.45,0,3,2761.49,1,0.5,1
